ID,Character,Image,Description
572,示,4519627.jpg,"(- an altar, indicating things related to the gods)"
573,示,4520633.jpg,"(- an altar, indicating things related to the gods)"
574,示,4520268.jpg,"(- an altar, indicating things related to the gods)"
575,示,4520392.jpg,"(- an altar, indicating things related to the gods)"
576,奭,4522919.jpg,(- original meaning abundant)
577,奭,4522322.jpg,(- original meaning abundant)
578,奭,4522424.jpg,(- original meaning abundant)
579,奭,4523627.jpg,(- original meaning abundant)
580,奭,4524879.jpg,(- original meaning abundant)
581,首,4526622.jpg,(- head with hair)
582,首,4527278.jpg,(- head with hair)
583,首,4527614.jpg,(- head with hair)
584,首,4527550.jpg,(- head with hair)
585,受,4528508.jpg,(- offloading a boat)
586,受,4528702.jpg,(- offloading a boat)
587,受,4528346.jpg,(- offloading a boat)
588,书,4528667.jpg,(- painting 画畫畵 from 田 tián) (- daytime 晝𦘙 from 日 rì) (- book 書𦘠 from 曰 yuē)
589,殳,4529207.jpg,(- a non descript tool 𠘧) (- 28 from 殳) (- 𠬛𠬸 mò in 没沒 歿殁)
590,殳,4529946.jpg,(- a non descript tool 𠘧) (- 28 from 殳) (- 𠬛𠬸 mò in 没沒 歿殁)
591,黍,4529631.jpg,(- plant grain that holds water)
592,黍,4530568.jpg,(- plant grain that holds water)
593,黍,4530191.jpg,(- plant grain that holds water)
594,黍,4530814.jpg,(- plant grain that holds water)
595,朮,4532853.jpg,(- in Chinese herb 药苍术、白术 pronounced zhú) (- hand holding glutinous rice)
596,戍,4532741.jpg,(- person holding a weapon)
597,戍,4532414.jpg,(- person holding a weapon)
598,束,4534881.jpg,"(- a sheaf, a bundle which is tied) (- see 東柬束帝)"
599,束,4534874.jpg,"(- a sheaf, a bundle which is tied) (- see 東柬束帝)"
600,束,4534640.jpg,"(- a sheaf, a bundle which is tied) (- see 東柬束帝)"
601,束,4535312.jpg,"(- a sheaf, a bundle which is tied) (- see 東柬束帝)"
602,束,4535953.jpg,"(- a sheaf, a bundle which is tied) (- see 東柬束帝)"
603,束,4535256.jpg,"(- a sheaf, a bundle which is tied) (- see 東柬束帝)"
604,庶,4536742.jpg,"(- original meaning to cook with hot rocks 庶牛) (- now meaning ""many"") (- see 席)"
605,纟,4539302.jpg,緋紛縫紱紼縛紺纲綱紞 縞紇給綆緱緄絎紘繙紿 縉經絅糺糾綄繯𦇏綞縗 繪緝績級紀繙紡締絰緞 纏緾綝絺紬綢絀綽純綳 繃編緥纔綵絆綁綜総縂 總緫纵縱組綎纆䌔絪继 繼緘縑繮絳絞紙緻終緣 約紜緼縕綺繾綪縴紂縐 绉紵綴縋綧緇纘緬緲緡 繆納紐紕縹綦綮繦繰綣 纕繞紉紝絨繻縟繖繅紗 繕緔紹紳繩綬紓繳結絹 絕緙絝纊綑纜縲絃线綫 缐緗綃緒續續纁紃綖縯 縊繶繹纓練練練綡繚綾 綹缕縷綠綸絡縵綿緦綏 縮縚縧綯綈緹統紈綰網 維緯紋紊细細𥿳綌纤纖 繒綻縝紖织織紆纈絏緤 紲綉绣繡縭
606,纟,4539815.jpg,緋紛縫紱紼縛紺纲綱紞 縞紇給綆緱緄絎紘繙紿 縉經絅糺糾綄繯𦇏綞縗 繪緝績級紀繙紡締絰緞 纏緾綝絺紬綢絀綽純綳 繃編緥纔綵絆綁綜総縂 總緫纵縱組綎纆䌔絪继 繼緘縑繮絳絞紙緻終緣 約紜緼縕綺繾綪縴紂縐 绉紵綴縋綧緇纘緬緲緡 繆納紐紕縹綦綮繦繰綣 纕繞紉紝絨繻縟繖繅紗 繕緔紹紳繩綬紓繳結絹 絕緙絝纊綑纜縲絃线綫 缐緗綃緒續續纁紃綖縯 縊繶繹纓練練練綡繚綾 綹缕縷綠綸絡縵綿緦綏 縮縚縧綯綈緹統紈綰網 維緯紋紊细細𥿳綌纤纖 繒綻縝紖织織紆纈絏緤 紲綉绣繡縭
607,纟,4539826.jpg,緋紛縫紱紼縛紺纲綱紞 縞紇給綆緱緄絎紘繙紿 縉經絅糺糾綄繯𦇏綞縗 繪緝績級紀繙紡締絰緞 纏緾綝絺紬綢絀綽純綳 繃編緥纔綵絆綁綜総縂 總緫纵縱組綎纆䌔絪继 繼緘縑繮絳絞紙緻終緣 約紜緼縕綺繾綪縴紂縐 绉紵綴縋綧緇纘緬緲緡 繆納紐紕縹綦綮繦繰綣 纕繞紉紝絨繻縟繖繅紗 繕緔紹紳繩綬紓繳結絹 絕緙絝纊綑纜縲絃线綫 缐緗綃緒續續纁紃綖縯 縊繶繹纓練練練綡繚綾 綹缕縷綠綸絡縵綿緦綏 縮縚縧綯綈緹統紈綰網 維緯紋紊细細𥿳綌纤纖 繒綻縝紖织織紆纈絏緤 紲綉绣繡縭
608,司,4540375.jpg,(- left facing person who gives orders)  (mirror- 后司) (mirror- 𠂋匕-人)
609,巳,4542317.jpg,"巳 swaddled baby 夔包巸祀. Often confounded with 己已㠯. 道 in (导)導. Phonetic in 汜祀圯. 卩 in 巽巺𢁅 巷. 㠯 in 异. 起 originally 巳. 巸 correct, 𦣤 wrong."
610,巳,4542236.jpg,"巳 swaddled baby 夔包巸祀. Often confounded with 己已㠯. 道 in (导)導. Phonetic in 汜祀圯. 卩 in 巽巺𢁅 巷. 㠯 in 异. 起 originally 巳. 巸 correct, 𦣤 wrong."
611,巳,4542506.jpg,"巳 swaddled baby 夔包巸祀. Often confounded with 己已㠯. 道 in (导)導. Phonetic in 汜祀圯. 卩 in 巽巺𢁅 巷. 㠯 in 异. 起 originally 巳. 巸 correct, 𦣤 wrong."
612,巳,4543787.jpg,"巳 swaddled baby 夔包巸祀. Often confounded with 己已㠯. 道 in (导)導. Phonetic in 汜祀圯. 卩 in 巽巺𢁅 巷. 㠯 in 异. 起 originally 巳. 巸 correct, 𦣤 wrong."
613,巳,4544125.jpg,"巳 swaddled baby 夔包巸祀. Often confounded with 己已㠯. 道 in (导)導. Phonetic in 汜祀圯. 卩 in 巽巺𢁅 巷. 㠯 in 异. 起 originally 巳. 巸 correct, 𦣤 wrong."
614,兕,4546267.jpg,(- a rhinoceros)
615,兕,4547584.jpg,(- a rhinoceros)
616,夙,4548147.jpg,(- Shuowen says it is from 𠉦𠈇) (- original meaning respect） (- heliacal rising of the moon or respect for the last moon)
617,岁,4549146.jpg,"(- weed 戌 the fields in summer) (- 木星 Jupiter retrograde cycle and orbit of 12 years actually 11.86 years) (- simplification from 歲月 which means ""time"" 月 to 夕)"
618,岁,4550142.jpg,"(- weed 戌 the fields in summer) (- 木星 Jupiter retrograde cycle and orbit of 12 years actually 11.86 years) (- simplification from 歲月 which means ""time"" 月 to 夕)"
619,岁,4550262.jpg,"(- weed 戌 the fields in summer) (- 木星 Jupiter retrograde cycle and orbit of 12 years actually 11.86 years) (- simplification from 歲月 which means ""time"" 月 to 夕)"
620,孙,4550333.jpg,(- children did the spinning)
621,它,4551602.jpg,(- a snake in 蛇 shé)
622,它,4552365.jpg,(- a snake in 蛇 shé)
623,唐,4552143.jpg,(- to brag 荒唐之言《庄子·天下》)
624,唐,4553507.jpg,(- to brag 荒唐之言《庄子·天下》)
625,唐,4553843.jpg,(- to brag 荒唐之言《庄子·天下》)
626,天,4553268.jpg,(- the round sky 囗 above a man 大).
627,天,4554730.jpg,(- the round sky 囗 above a man 大).
628,天,4554669.jpg,(- the round sky 囗 above a man 大).
629,田,4555793.jpg,(- a rice field) (- usually found in context with other meanings)
630,田,4555707.jpg,(- a rice field) (- usually found in context with other meanings)
631,聑,4556637.jpg,(- quiet)
632,同,4556387.jpg,(- indicating- 凡是 every)
633,童,4557152.jpg,"(- a boy carrying a bundle 重 with punishment marker 䇂 on top. Earlier forms, the boy had an eye and no bundle)"
634,童,4557965.jpg,"(- a boy carrying a bundle 重 with punishment marker 䇂 on top. Earlier forms, the boy had an eye and no bundle)"
635,土,4559116.jpg,"(- a potters wheel with a lump of clay indicating earth, clay, sometimes land) (-大 in 去厺㚎 赤灻𤆍 𦍒羍 走𣥚𧺆 幸𠂷𡴘) (-土 in 全 生𤯓㞢 𡈼垂對 重𡍴 堇𡏳 𡉚凷坐在 毁毀) (-之 in 寺) (-other 壳𡉉𠕓 主 黑𪐗 圥𡴆 牡庄𤴶莊) (-phonetic 肚) (-cognate 塞地)"
636,土,4559470.jpg,"(- a potters wheel with a lump of clay indicating earth, clay, sometimes land) (-大 in 去厺㚎 赤灻𤆍 𦍒羍 走𣥚𧺆 幸𠂷𡴘) (-土 in 全 生𤯓㞢 𡈼垂對 重𡍴 堇𡏳 𡉚凷坐在 毁毀) (-之 in 寺) (-other 壳𡉉𠕓 主 黑𪐗 圥𡴆 牡庄𤴶莊) (-phonetic 肚) (-cognate 塞地)"
637,土,4559705.jpg,"(- a potters wheel with a lump of clay indicating earth, clay, sometimes land) (-大 in 去厺㚎 赤灻𤆍 𦍒羍 走𣥚𧺆 幸𠂷𡴘) (-土 in 全 生𤯓㞢 𡈼垂對 重𡍴 堇𡏳 𡉚凷坐在 毁毀) (-之 in 寺) (-other 壳𡉉𠕓 主 黑𪐗 圥𡴆 牡庄𤴶莊) (-phonetic 肚) (-cognate 塞地)"
638,土,4559225.jpg,"(- a potters wheel with a lump of clay indicating earth, clay, sometimes land) (-大 in 去厺㚎 赤灻𤆍 𦍒羍 走𣥚𧺆 幸𠂷𡴘) (-土 in 全 生𤯓㞢 𡈼垂對 重𡍴 堇𡏳 𡉚凷坐在 毁毀) (-之 in 寺) (-other 壳𡉉𠕓 主 黑𪐗 圥𡴆 牡庄𤴶莊) (-phonetic 肚) (-cognate 塞地)"
639,兔,4600626.jpg,(- a rabbit)
640,屯,4602991.jpg,(- a sprout)
641,乇,4603780.jpg,(- probably a support pole of a house)乇 tuō (- See 宅 zhái) 亳 bó C735 咤<吒> zhā
642,乇,4603239.jpg,(- probably a support pole of a house)乇 tuō (- See 宅 zhái) 亳 bó C735 咤<吒> zhā
643,妥,4606347.jpg,(- controlling her).
644,妥,4607901.jpg,(- controlling her).
645,宛,4607668.jpg,"Possibly indicates opposite bent crescents of the new and old moon which would appear to the ancients to happen between one sunset and the next sunrise.  see 夗, 卯 and 昴. 《史记·卷一一七·司马相如传》：「奔星更于闰闼,宛虹拖于楯轩。」"
646,万,4607217.jpg,(- a scorpion with front claws and a tail)
647,万,4608450.jpg,(- a scorpion with front claws and a tail)
648,万,4608691.jpg,(- a scorpion with front claws and a tail)
649,亡,4608907.jpg,(- 亡亾兦 pictograph of a seated blind man with his hand out with a cup)  (- blind man 亡亾兦)  (- beggar 匄) (- original 亡亾兦盲）
650,王,4609748.jpg,"(王 modification of person-stand-li 立 lì with line above indicating sky) (actually 王 is like seal character for jade, the dot was added later to distinguish from king. seal character for king has middle line above center)"
651,王,4609769.jpg,"(王 modification of person-stand-li 立 lì with line above indicating sky) (actually 王 is like seal character for jade, the dot was added later to distinguish from king. seal character for king has middle line above center)"
652,王,4609274.jpg,"(王 modification of person-stand-li 立 lì with line above indicating sky) (actually 王 is like seal character for jade, the dot was added later to distinguish from king. seal character for king has middle line above center)"
653,王,4609349.jpg,"(王 modification of person-stand-li 立 lì with line above indicating sky) (actually 王 is like seal character for jade, the dot was added later to distinguish from king. seal character for king has middle line above center)"
654,网,4610180.jpg,(- net 网)  (- ⺳ in 罕) (- 罒 in 羅) (- 𦉸 in 網) (- original 网網)
655,网,4610921.jpg,(- net 网)  (- ⺳ in 罕) (- 罒 in 羅) (- 𦉸 in 網) (- original 网網)
656,网,4610242.jpg,(- net 网)  (- ⺳ in 罕) (- 罒 in 羅) (- 𦉸 in 網) (- original 网網)
657,往,4611784.jpg,(主 from 止 above 王 below） (originally no 彳 chì) see 𡉚 from 封 but different components.
658,望,4611513.jpg,(- a man looking at the moon)
659,望,4611853.jpg,(- a man looking at the moon)
660,望,4612962.jpg,(- a man looking at the moon)
661,为,4614395.jpg,(- hand feeding 喂 wei an elephant)
662,为,4614223.jpg,(- hand feeding 喂 wei an elephant)
663,韦,4615431.jpg,(- the shuttle going back and forth) (- now 韦韋緯)  (- sometimes 4 feet surrounding a place meaning to protect)  (- now 卫衛)
664,韦,4616201.jpg,(- the shuttle going back and forth) (- now 韦韋緯)  (- sometimes 4 feet surrounding a place meaning to protect)  (- now 卫衛)
665,韦,4617124.jpg,(- the shuttle going back and forth) (- now 韦韋緯)  (- sometimes 4 feet surrounding a place meaning to protect)  (- now 卫衛)
666,韦,4617341.jpg,(- the shuttle going back and forth) (- now 韦韋緯)  (- sometimes 4 feet surrounding a place meaning to protect)  (- now 卫衛)
667,韦,4617285.jpg,(- the shuttle going back and forth) (- now 韦韋緯)  (- sometimes 4 feet surrounding a place meaning to protect)  (- now 卫衛)
668,韦,4618886.jpg,(- the shuttle going back and forth) (- now 韦韋緯)  (- sometimes 4 feet surrounding a place meaning to protect)  (- now 卫衛)
669,唯,4619562.jpg,(- pronounced 口 like 隹)
670,未,4620373.jpg,"(- buds, from a tree 木 something that will arrive in the future 未來)"
671,未,4621233.jpg,"(- buds, from a tree 木 something that will arrive in the future 未來)"
672,未,4621448.jpg,"(- buds, from a tree 木 something that will arrive in the future 未來)"
673,未,4621123.jpg,"(- buds, from a tree 木 something that will arrive in the future 未來)"
674,未,4622631.jpg,"(- buds, from a tree 木 something that will arrive in the future 未來)"
675,未,4622669.jpg,"(- buds, from a tree 木 something that will arrive in the future 未來)"
676,文,4622598.jpg,"(- fine cloths have always been a symbol of wealth and culture, heart being the chest) (- original 文紋) B084 齐[齊] B063 刘[劉] A325 这[這] B011 产[産] A320 斋[齋] A063 坟[墳]"
677,文,4623400.jpg,"(- fine cloths have always been a symbol of wealth and culture, heart being the chest) (- original 文紋) B084 齐[齊] B063 刘[劉] A325 这[這] B011 产[産] A320 斋[齋] A063 坟[墳]"
678,文,4624889.jpg,"(- fine cloths have always been a symbol of wealth and culture, heart being the chest) (- original 文紋) B084 齐[齊] B063 刘[劉] A325 这[這] B011 产[産] A320 斋[齋] A063 坟[墳]"
679,文,4625247.jpg,"(- fine cloths have always been a symbol of wealth and culture, heart being the chest) (- original 文紋) B084 齐[齊] B063 刘[劉] A325 这[這] B011 产[産] A320 斋[齋] A063 坟[墳]"
680,问,4626330.jpg,(- to-ask-wen 问問 wèn)
681,问,4626170.jpg,(- to-ask-wen 问問 wèn)
682,我,4627433.jpg,(- 我𢦐 rake or saw)
683,我,4627428.jpg,(- 我𢦐 rake or saw)
684,我,4627188.jpg,(- 我𢦐 rake or saw)
685,我,4628314.jpg,(- 我𢦐 rake or saw)
686,巫,4629159.jpg,"(- 巫☩ unknown symbol meaning) (- sometimes 亼 on top, 口 on bottom) (- perhaps speaking to the gods)"
687,五,4629139.jpg,"(- originally 5 horizontal strokes, 3 in the middle become an 㐅)"
688,五,4630758.jpg,"(- originally 5 horizontal strokes, 3 in the middle become an 㐅)"
689,午,4631541.jpg,(- a large double ended pestle for dehusking rice)
690,午,4632582.jpg,(- a large double ended pestle for dehusking rice)
691,午,4632396.jpg,(- a large double ended pestle for dehusking rice)
692,午,4633423.jpg,(- a large double ended pestle for dehusking rice)
693,舞,4634518.jpg,(- dancer-nothing-wu 無 now feet-dancing-wu 舞)
694,舞,4634467.jpg,(- dancer-nothing-wu 無 now feet-dancing-wu 舞)
695,舞,4635280.jpg,(- dancer-nothing-wu 無 now feet-dancing-wu 舞)
696,舞,4637871.jpg,(- dancer-nothing-wu 無 now feet-dancing-wu 舞)
697,兀,4641138.jpg,(- a table)  (- a man)
698,兀,4641572.jpg,(- a table)  (- a man)
699,勿,4641197.jpg,"(- a knife with drops of blood) (- knife in 物刎 忽 利𥝢𥝤) (- borrowed to mean ""not"") (- light in 昜𠃓 易 㫚昒) (- phonetic in 囫笏芴) (- mustache in 吻脗 (- window in 匆)"
700,勿,4641413.jpg,"(- a knife with drops of blood) (- knife in 物刎 忽 利𥝢𥝤) (- borrowed to mean ""not"") (- light in 昜𠃓 易 㫚昒) (- phonetic in 囫笏芴) (- mustache in 吻脗 (- window in 匆)"
701,勿,4642182.jpg,"(- a knife with drops of blood) (- knife in 物刎 忽 利𥝢𥝤) (- borrowed to mean ""not"") (- light in 昜𠃓 易 㫚昒) (- phonetic in 囫笏芴) (- mustache in 吻脗 (- window in 匆)"
702,戊,4642274.jpg,(- a long handled tool)
703,戊,4642736.jpg,(- a long handled tool)
704,戊,4643548.jpg,(- a long handled tool)
705,戊,4644483.jpg,(- a long handled tool)
706,戊,4644100.jpg,(- a long handled tool)
707,戊,4645957.jpg,(- a long handled tool)
708,戊,4645117.jpg,(- a long handled tool)
709,戊,4645138.jpg,(- a long handled tool)
710,物,4646726.jpg,"(- originally in 物 a cow was property that you could kill and eat, thus a thing)"
711,夕,4646590.jpg,(- stand alone moon 夕) (- moon in 梦夢岁名汐𡖍) (- meat in 奖多酱夤飧) (- question in 外夗夙𡖊) (- bone in 𡿪歺歹) (- foot in 舛) (- phonetic in 穸) (- remnant in 罗)
712,夕,4646591.jpg,(- stand alone moon 夕) (- moon in 梦夢岁名汐𡖍) (- meat in 奖多酱夤飧) (- question in 外夗夙𡖊) (- bone in 𡿪歺歹) (- foot in 舛) (- phonetic in 穸) (- remnant in 罗)
713,兮,4647497.jpg,"(- unclear-origin, looks like an altar)  (original- 兮羲 xī)"
714,兮,4647929.jpg,"(- unclear-origin, looks like an altar)  (original- 兮羲 xī)"
715,西,4648576.jpg,(1 Shuowen - bird 弓 descends on nest at night at sunset 㢴卥 like the sun descends) (2 sometimes looks like basket 甾 of something. see 東西) (3 possibly a bag of something)
716,西,4648944.jpg,(1 Shuowen - bird 弓 descends on nest at night at sunset 㢴卥 like the sun descends) (2 sometimes looks like basket 甾 of something. see 東西) (3 possibly a bag of something)
717,西,4649836.jpg,(1 Shuowen - bird 弓 descends on nest at night at sunset 㢴卥 like the sun descends) (2 sometimes looks like basket 甾 of something. see 東西) (3 possibly a bag of something)
718,西,4649643.jpg,(1 Shuowen - bird 弓 descends on nest at night at sunset 㢴卥 like the sun descends) (2 sometimes looks like basket 甾 of something. see 東西) (3 possibly a bag of something)
719,西,4649708.jpg,(1 Shuowen - bird 弓 descends on nest at night at sunset 㢴卥 like the sun descends) (2 sometimes looks like basket 甾 of something. see 東西) (3 possibly a bag of something)
720,昔,4649737.jpg,(- winter solstice sacrifice of meat)
721,奚,4650732.jpg,(- possibly slave with rope around neck) 奚奚 (- possibly a puppet on a string) simplified  A103鸡[鷄]又奚 C246 鷄<雞> But 蹊蹊 傒傒 溪溪 谿谿 鼷鼷 𫘬騱 C635 鞋<鞵>
722,奚,4651989.jpg,(- possibly slave with rope around neck) 奚奚 (- possibly a puppet on a string) simplified  A103鸡[鷄]又奚 C246 鷄<雞> But 蹊蹊 傒傒 溪溪 谿谿 鼷鼷 𫘬騱 C635 鞋<鞵>
723,奚,4651672.jpg,(- possibly slave with rope around neck) 奚奚 (- possibly a puppet on a string) simplified  A103鸡[鷄]又奚 C246 鷄<雞> But 蹊蹊 傒傒 溪溪 谿谿 鼷鼷 𫘬騱 C635 鞋<鞵>
724,奚,4651783.jpg,(- possibly slave with rope around neck) 奚奚 (- possibly a puppet on a string) simplified  A103鸡[鷄]又奚 C246 鷄<雞> But 蹊蹊 傒傒 溪溪 谿谿 鼷鼷 𫘬騱 C635 鞋<鞵>
725,习,4652502.jpg,(- to practice flying in the sun) (- to start. birds 羽 flying in the morning 日)
726,系,4654182.jpg,(- thread tied to a beam 丿)
727,系,4654335.jpg,(- thread tied to a beam 丿)
728,系,4655670.jpg,(- thread tied to a beam 丿)
729,下,4656302.jpg,(- short mark below indicating down)
730,先,4656778.jpg,(- The person 儿 comes 𡳿 before or earlier than another person)
731,先,4657760.jpg,(- The person 儿 comes 𡳿 before or earlier than another person)
732,咸,4657935.jpg,(- see 或 huò)
733,苋,4658900.jpg,(- see 宽莧寬)
734,献,4700664.jpg,(- dog to be sacrificed)
735,献,4700766.jpg,(- dog to be sacrificed)
736,乡,4702122.jpg,(- see 𨙨邑) (- Remnant in 雍雝)
737,乡,4702438.jpg,(- see 𨙨邑) (- Remnant in 雍雝)
738,向,4706639.jpg,(- north facing window 璧)
739,象,4706349.jpg,(- an elephant)
740,象,4706556.jpg,(- an elephant)
741,小,4707637.jpg,(- from three dots)  (- in context ⺌) (- see 少)
742,效,4707849.jpg,(- a hand with a fire drill 交 indicating action).
743,效,4707905.jpg,(- a hand with a fire drill 交 indicating action).
744,燮,4711438.jpg,(- ancient form appears to be a hand lighting several fires with a torch 辛)
745,心,4711751.jpg,"(- the human torso showing breasts, stomach and navel, now meaning heart)  (- in context usually seen as 忄sometimes as 㣺)"
746,心,4711864.jpg,"(- the human torso showing breasts, stomach and navel, now meaning heart)  (- in context usually seen as 忄sometimes as 㣺)"
747,辛,4712127.jpg,(- possibly a chisel)  (- possibly upside down 立 lì)  (- probably same as tool-qian 䇂 qiān)
748,辛,4712149.jpg,(- possibly a chisel)  (- possibly upside down 立 lì)  (- probably same as tool-qian 䇂 qiān)
749,辛,4712286.jpg,(- possibly a chisel)  (- possibly upside down 立 lì)  (- probably same as tool-qian 䇂 qiān)
750,辛,4713472.jpg,(- possibly a chisel)  (- possibly upside down 立 lì)  (- probably same as tool-qian 䇂 qiān)
751,星,4716339.jpg,The original pictograph of stars was 口 not 日 which means sun.
752,星,4716729.jpg,The original pictograph of stars was 口 not 日 which means sun.
753,行,4717819.jpg,(- intersection of two roads)
754,杏,4717751.jpg,(- a fruit)
755,凶,4718431.jpg,"(- thought to indicate a trap, or hole in the ground)"
756,凶,4718446.jpg,"(- thought to indicate a trap, or hole in the ground)"
757,兄,4720390.jpg,(- the one who does the talking)
758,戌,4721152.jpg,(- a halberd)
759,戌,4721264.jpg,(- a halberd)
760,戌,4721969.jpg,(- a halberd)
761,戌,4722480.jpg,(- a halberd)
762,戌,4722363.jpg,(- a halberd)
763,戌,4722749.jpg,(- a halberd)
764,戌,4722716.jpg,(- a halberd)
765,戌,4723544.jpg,(- a halberd)
766,须,4724886.jpg,(- whiskers)
767,须,4724405.jpg,(- whiskers)
768,须,4724300.jpg,(- whiskers)
769,畜,4725119.jpg,(- rope 玄 through the nose 田 of a cow)
770,畜,4725710.jpg,(- rope 玄 through the nose 田 of a cow)
771,畜,4726797.jpg,(- rope 玄 through the nose 田 of a cow)
772,血,4727842.jpg,(- a bowl of sacrificial blood) (- Kangxi 143）
773,血,4727882.jpg,(- a bowl of sacrificial blood) (- Kangxi 143）
774,血,4728336.jpg,(- a bowl of sacrificial blood) (- Kangxi 143）
775,寻,4728551.jpg,(- two hands spreading a tape measure or mat)  (- 八尺一寻 8 feet 1 xun)
776,寻,4728369.jpg,(- two hands spreading a tape measure or mat)  (- 八尺一寻 8 feet 1 xun)
777,寻,4729575.jpg,(- two hands spreading a tape measure or mat)  (- 八尺一寻 8 feet 1 xun)
778,寻,4730630.jpg,(- two hands spreading a tape measure or mat)  (- 八尺一寻 8 feet 1 xun)
779,旬,4730735.jpg,(- 勹 from modified 十 indicating a loop of 10 days)
780,旬,4730984.jpg,(- 勹 from modified 十 indicating a loop of 10 days)
781,疋,4731276.jpg,"(- stone chimes in a row, which must be matched)  See 匹配"
782,疋,4732762.jpg,"(- stone chimes in a row, which must be matched)  See 匹配"
783,疋,4732256.jpg,"(- stone chimes in a row, which must be matched)  See 匹配"
784,疋,4732206.jpg,"(- stone chimes in a row, which must be matched)  See 匹配"
785,疋,4733686.jpg,"(- stone chimes in a row, which must be matched)  See 匹配"
786,疋,4733806.jpg,"(- stone chimes in a row, which must be matched)  See 匹配"
787,疋,4733842.jpg,"(- stone chimes in a row, which must be matched)  See 匹配"
788,亚,4734630.jpg,(- a house with 4 corners)  (- often can see people and things inside)  (- related meaning the adobe to make the house)
789,言,4736649.jpg,(- a man standing and speaking to you)
790,言,4737746.jpg,(- a man standing and speaking to you)
791,燕,4740700.jpg,(- a swallow)
792,燕,4740679.jpg,(- a swallow)
793,央,4741726.jpg,"(- man carrying load, centered on a carrying pole)"
794,央,4741449.jpg,"(- man carrying load, centered on a carrying pole)"
795,央,4742269.jpg,"(- man carrying load, centered on a carrying pole)"
796,羊,4743177.jpg,(- sheep with horns)  (- in context sometimes ⺶ or ⺷)
797,羊,4743176.jpg,(- sheep with horns)  (- in context sometimes ⺶ or ⺷)
798,羊,4743620.jpg,(- sheep with horns)  (- in context sometimes ⺶ or ⺷)
799,夭,4746606.jpg,(- person-stand-da 大 dà leaning forward)夭亡 夭折
800,夭,4746748.jpg,(- person-stand-da 大 dà leaning forward)夭亡 夭折
801,夭,4746602.jpg,(- person-stand-da 大 dà leaning forward)夭亡 夭折
802,爻,4747501.jpg,underbrush 棥. see 樊礬𥖎鬰欝. characters 学學𡥈教𤕝. fabric 希𢁫. lantern 爽. 龸𦥯 in 礐覺. cutting 𤕦肴. stripes 駁.
803,尧,4747683.jpg,(- a pile of jugs on a table - piled high)
804,尧,4747181.jpg,(- a pile of jugs on a table - piled high)
805,埜,4748807.jpg,(- shuttle 予 indicating you have to weave in and out of the trees 林)
806,衣,4750342.jpg,cloths.
807,依,4751143.jpg,(- the value of a man depends on his cloths).
808,夷,4754569.jpg,"(- unclear, possibly some kind of clothing)."
809,乙,4803583.jpg,(- Shuowen says: it is a sprout) (- second; 2nd heavenly stem) (- variant 乚 in 乹亁) A292 亿[億] A293 忆[憶] B122 艺[藝] (- phonetic in 钇釔)  (- motion in 失𢩥 穵)  (- remnant in 凼氹)
810,乙,4803661.jpg,(- Shuowen says: it is a sprout) (- second; 2nd heavenly stem) (- variant 乚 in 乹亁) A292 亿[億] A293 忆[憶] B122 艺[藝] (- phonetic in 钇釔)  (- motion in 失𢩥 穵)  (- remnant in 凼氹)
811,乙,4804453.jpg,(- Shuowen says: it is a sprout) (- second; 2nd heavenly stem) (- variant 乚 in 乹亁) A292 亿[億] A293 忆[憶] B122 艺[藝] (- phonetic in 钇釔)  (- motion in 失𢩥 穵)  (- remnant in 凼氹)
812,以,4804207.jpg,"人 was added to distinguish 㠯 from 厶. Originally 㠯, meaning ‘by means of’ or ‘because of’. originally 㠯=以."
813,以,4805701.jpg,"人 was added to distinguish 㠯 from 厶. Originally 㠯, meaning ‘by means of’ or ‘because of’. originally 㠯=以."
814,乂,4805829.jpg,(- phonetic in 艾) (- part of 爻) 㐅 in B092 区[區] B034 冈[岡] B033 风[風] A323 赵[趙] 乂 in B121 义[義]
815,义,4805716.jpg,(- the sheep which is given each year to the poor) .
816,亦,4806347.jpg,"(- two dots indicating ""and"", one on each side) (- from person-stand-da 大 dà and symbols indicating armpits 腋窝)  (- simplification of 亦䜌 luán)"
817,亦,4806417.jpg,"(- two dots indicating ""and"", one on each side) (- from person-stand-da 大 dà and symbols indicating armpits 腋窝)  (- simplification of 亦䜌 luán)"
818,异,4806366.jpg,"Man holding a mask indicating a different face ""other"")"
819,异,4807762.jpg,"Man holding a mask indicating a different face ""other"")"
820,易,4807810.jpg,(- light 勿 from the moon 月 - easy to see - easy) (日月為易）
821,益,4808365.jpg,(original- 益益溢)
822,益,4808609.jpg,(original- 益益溢)
823,翊,4810731.jpg,stand up 立 and fly 羽
824,翊,4810722.jpg,stand up 立 and fly 羽
825,翌,4811761.jpg,daybreak when the birds 羽 stand up 立 and fly. 昱
826,翌,4811213.jpg,daybreak when the birds 羽 stand up 立 and fly. 昱
827,因,4812413.jpg,(- a mat 囗 with a person 大 sleeping on it)
828,因,4812278.jpg,(- a mat 囗 with a person 大 sleeping on it)
829,寅,4813929.jpg,(- possible hands straightening an arrow)
830,寅,4813418.jpg,(- possible hands straightening an arrow)
831,寅,4813827.jpg,(- possible hands straightening an arrow)
832,寅,4816365.jpg,(- possible hands straightening an arrow)
833,寅,4817334.jpg,(- possible hands straightening an arrow)
834,尹,4817704.jpg,(- a hand with a stick that signifies control or possibly a brush that writes laws to control)
